Bedroom,Bathroom,Den,Lat,Long,Price,Address,Postal Code
2,2,0,43.6413402,-79.4181394,3200,"12 Sudbury St, Toronto, O",M6J
2,2,0,43.6456126,-79.3825854,3200,"York Street, M5J 0E1, Toronto, O",M5J
2,2,0,43.6431051,-79.375906,3200,"12 Yonge St, Toronto, O",M5E
3,2,0,43.6606054,-79.3786354,3200,"89 McGill Street, Toronto, O",M5B
2,2,0,43.6406456,-79.380939,3200,"8 York St, Toronto, O",M5J
3,1,0,43.6606054,-79.3786354,3200,"89 McGill Street, Toronto, O",M5B
2,2,0,43.6387842,-79.3988635,3200,"85 Queens Wharf road, M5V0J9, Toronto, O",M5V
2,1,0,43.6289467,-79.3944199,3200,"M5V, Canada",M5V
1,1,0,43.6500917,-79.3873738,3200,"168 Simcoe St, Toronto, O",M5H
2,1.5,0,43.6418726,-79.3819064,3200,"12 York St, Toronto, O",M5J
2,2,0,43.6394055,-79.3932324,3150,"11 Brunel Ct, Toronto, O",M5V
2,2,0,43.6394055,-79.3932324,3150,"11 Brunel Ct, Toronto, O",M5V
2,2,0,43.6394055,-79.3932324,3150,"11 Brunel Ct, Toronto, O",M5V
2,2,0,43.6394055,-79.3932324,3150,"11 Brunel Ct, Toronto, O",M5V
2,2,0,43.642282,-79.3828265,3150,"30 Grand Trunk Crescent, Toronto, O",M5J
2,2,0,43.6410868,-79.3814048,3150,"10 York St, Toronto, O",M5J
2,2,0,43.6404783,-79.3949699,3130,"8 Telegram Mews, Toronto, O",M5V
2,2,0,43.6423144,-79.3812291,3100,"York St, Toronto, O",M5J
2,2,0,43.6695928,-79.3805797,3100,"101 Charles St, Toronto, O",M4Y
2,2,0,43.6460058,-79.3899085,3100,"8 Mercer Street, M5V0C4, Toronto, O",M5V
2,2,0,43.6415846,-79.3826205,3100,"19 Grand Trunk Crescent, Toronto, O",M5J
2,2,0,43.6375235,-79.400877,3100,"20 Bruyeres Mews, Toronto, O",M5V
